Customer_ID,Customer_Name,Region_ID,Category,Q1_Sales,Q2_Sales,Q3_Sales,Q4_Sales
CUST-1058,Ian Rand,R4_West,Office Supplies,172,604,705,607
CUST-1059,Danny Sparrow,R4_West,Furniture,911,945,834,232
CUST-1060,Matt Walker,R3_East,Electronics,671,867,821,294
CUST-1061,Grace Temple,R1_North,Home Decor,907,884,322,234
CUST-1062,Foggy Miller,R4_West,Clothing,249,533,298,227
CUST-1063,Eve Hopper,R4_West,Furniture,329,713,229,606
CUST-1064,Matt Rand,R2_South,Electronics,372,655,362,150
CUST-1065,Karen Miller,R4_West,Clothing,911,516,352,200
CUST-1066,Matt Hopper,R4_West,Home Decor,808,293,913,834
CUST-1067,Trish Jones,R2_South,Clothing,591,218,378,866
CUST-1068,Jack Murdock,R3_East,Electronics,757,248,825,921
CUST-1069,Frank Cage,R4_West,Clothing,918,545,376,595
CUST-1070,Luke Nelson,R2_South,Office Supplies,474,174,808,598
CUST-1071,Karen Hopper,R1_North,Clothing,665,618,681,637
CUST-1072,Alice Smith,R3_East,Furniture,165,633,590,949
CUST-1073,Foggy Murdock,R1_North,Furniture,941,714,551,183
CUST-1074,Ian Brown,R1_North,Office Supplies,485,300,196,497
CUST-1075,Grace Wright,R2_South,Electronics,908,293,382,244
CUST-1076,Helen Malcolm,R4_West,Furniture,407,718,454,221
CUST-1077,Eve Smith,R2_South,Home Decor,646,188,675,700
CUST-1078,Trish Sparrow,R2_South,Furniture,309,258,292,303
CUST-1079,Luke Rand,R2_South,Furniture,624,842,564,399
CUST-1080,Ian Nelson,R2_South,Electronics,813,191,662,823
CUST-1081,Claire Temple,R3_East,Clothing,839,335,522,587
CUST-1082,Foggy Cage,R4_West,Furniture,824,547,715,267
CUST-1083,Grace Jones,R1_North,Office Supplies,529,372,408,920
CUST-1084,Charlie Temple,R1_North,Clothing,694,783,805,455
CUST-1085,Eve Temple,R4_West,Home Decor,840,282,620,417
CUST-1086,Claire Temple,R1_North,Electronics,576,312,161,203
CUST-1087,Bob Jones,R4_West,Home Decor,762,364,479,385
CUST-1088,Eve Smith,R1_North,Clothing,417,882,885,538
CUST-1089,Alice Walker,R2_South,Clothing,726,384,933,883
CUST-1090,Bob Cage,R1_North,Clothing,566,807,507,912
CUST-1091,Frank Miller,R4_West,Home Decor,317,900,557,550
CUST-1092,Karen Temple,R4_West,Clothing,192,737,817,773
CUST-1093,Frank Davis,R4_West,Home Decor,705,158,522,916
CUST-1094,Foggy Jones,R4_West,Clothing,434,223,157,452
CUST-1095,Frank Page,R4_West,Office Supplies,546,641,271,356
CUST-1096,Frank Castle,R3_East,Clothing,161,402,497,378
CUST-1097,Alice Malcolm,R3_East,Home Decor,756,379,825,727
CUST-1098,Frank Castle,R1_North,Furniture,451,668,239,224
CUST-1099,Charlie Nelson,R4_West,Clothing,402,323,797,584
CUST-1100,David Walker,R1_North,Furniture,648,802,847,252
